ProductID,SupplierID,ProductName,ContainerType,ProductWeight,IngredientType,QualityRating,SKU,QuantityPerUnit,ProductPrice,ProductCost,UnitsInStock,UnitsOnOrder,ReorderLevel,CatalogLastUpdated,DateEnteredInventory
14,2,Chocolate Fudge,Paper Bag,10 oz,All-Natural,Need to Improve,DKLS-4732,28,41,13.61,31,0,30,Jun 15 2021,4/18/2010
15,2,Chocolate Blueberries,Plastic Bag,5 oz,Organic,Acceptable,DKLS-4732,28,24,7.96,28,0,25,Jun 20 2021,4/17/2017
16,2,Chocolate Almonds,Plastic Bag,8 oz,GMO-Free,Acceptable,DKLS-4732,25,25,8.3,21,0,25,Nov 13 2021,4/5/2010
17,2,Dark Chocolate Apricots,Plastic Container,9 oz,All-Natural,Very Good,DKLS-4732,35,46,15.27,38,0,25,Dec 10 2021,5/7/2010
18,2,Sesame Crackers,Paper Box,2.5 lb,Organic,Need to Improve,DKLS-4732,25,39,12.94,43,0,35,Jan 14 2021,6/25/2017
19,2,Crispy Pears,Paper Box,7 oz,Organic,Top-Rated,DKLS-4732,20,33,10.95,31,0,35,Jan 18 2021,1/24/2010
20,3,Chunky Pretzels,Plastic Container,14 oz,All-Natural,Acceptable,DKLS-4732,30,22,7.3,43,0,45,Mar 20 2021,11/29/2014
21,3,Chocolate Coconut Bar,Plastic Bag,8 oz,GMO-Free,Top-Rated,PDKL-2389,15,26,8.63,37,0,45,Mar 20 2021,2/28/2013
22,3,Roasted & Salted Almonds,Paper Box,1.5 lb,GMO-Free,Need to Improve,PDKL-2389,35,19,6.3,35,0,45,Feb 25 2021,9/1/2010
23,3,Roasted & Salted Cashews,Paper Bag,14 oz,Organic,Acceptable,PDKL-2389,26,30,9.96,22,15,25,Apr 10 2021,9/21/2014
24,3,Roasted No-Salt Almonds,Plastic Bag,1 lb,Organic,Excellent,PDKL-2389,28,39,12.94,38,10,35,Apr 15 2021,5/9/2012
25,3,Water Crackers,Paper Box,1 lb,GMO-Free,Very Good,PDKL-2389,32,24,7.96,44,0,20,Apr 17 2021,10/5/2012
26,3,Nacho Chips,Plastic Container,14 oz,Organic,Top-Rated,PDKL-2389,28,25,8.3,24,25,35,Apr 18 2021,10/10/2015
27,4,Corn Chips,Paper Box,1.5 lb,Organic,Acceptable,PDKL-2389,32,37,12.28,24,10,30,May 19 2021,3/26/2013
28,4,Pepper Cheese Box,Paper Box,6 oz,All-Natural,Very Good,PDKL-2389,22,50,16.6,45,0,30,May 20 2021,3/28/2016
29,4,Chocolate Truffle Cookies,Flexible Pouch,7 oz,GMO-Free,Acceptable,PDKL-2389,30,24,7.96,41,0,30,Jun 15 2021,2/15/2018
30,4,Traditional Swedish Cookies,Paper Bag,12 oz,GMO-Free,Top-Rated,PDKL-2389,20,25,8.3,41,0,45,Jun 20 2021,9/9/2016
31,4,Chocolate Chunk Cookies,Flexible Pouch,2 lb,Organic,Very Good,ASDT-3456,34,48,15.93,15,20,40,Nov 13 2021,5/17/2018
32,4,Peanut Butter Creme Cookies,Paper Bag,1 lb,Organic,Excellent,ASDT-3456,20,18,5.97,37,10,40,Dec 10 2021,8/3/2015
33,5,Cinnamon Flavor Cookies,Paper Box,5 oz,All-Natural,Very Good,ASDT-3456,28,24,7.96,41,0,35,Jan 14 2021,5/5/2016
34,5,Coconut Flavour Cream Wafers,Flexible Pouch,10 oz,Organic,Very Good,ASDT-3456,35,38,12.61,27,10,30,Jan 18 2021,5/8/2018
35,5,Coffee biscuits,Flexible Pouch,7 oz,All-Natural,Acceptable,ASDT-3456,30,50,16.6,24,0,35,Mar 20 2021,1/31/2016
36,5,Lemon Biscuits,Plastic Bag,11 oz,All-Natural,Need to Improve,ASDT-3456,30,48,15.93,45,0,25,Mar 20 2021,11/4/2015
37,5,Cream and honey biscuits,Flexible Pouch,11 oz,GMO-Free,Very Good,ASDT-3456,28,22,7.3,22,0,20,Feb 25 2021,5/14/2015
38,5,Cocoa and Hazelnut Biscuits,Plastic Container,2 lb,GMO-Free,Top-Rated,ASDT-3456,25,35,11.62,42,0,35,Apr 10 2021,1/12/2014
39,5,Pizza croutons,Paper Bag,6 oz,Organic,Top-Rated,ASDT-3456,20,49,16.26,44,0,25,Apr 15 2021,7/30/2012
40,5,Biscuits with Cream,Plastic Bag,2 lb,Organic,Very Good,ASDT-3456,25,27,8.96,49,0,25,Apr 17 2021,9/25/2017
41,6,Banana Bisquits,Paper Box,7 oz,GMO-Free,Excellent,ADSE 2345,30,38,12.61,38,0,30,Apr 18 2021,11/10/2017
42,6,Chocolate Bisquits,Plastic Container,2.5 lb,All-Natural,Very Good,ADST 2345,30,19,6.3,36,0,30,May 19 2021,12/18/2014
43,6,Cocoa Biscuits,Flexible Pouch,10 oz,All-Natural,Excellent,ADSD 2345,32,28,9.29,23,15,40,May 20 2021,7/31/2013
44,6,Honey Biscuits,Paper Bag,7 oz,All-Natural,Acceptable,ADSL 2345,25,39,12.94,29,10,30,Jun 15 2021,12/5/2011
45,6,Mushroom Sauce,Plastic Bag,11 oz,GMO-Free,Excellent,ADST 2345,30,21,6.97,22,10,25,Jun 20 2021,4/24/2018
46,6,Artichokes in white sauce,Paper Box,2 lb,All-Natural,Need to Improve,ADST 2345,20,22,7.3,50,0,25,Nov 13 2021,7/12/2018
47,6,Chocolate Chip Cookies,Flexible Pouch,8 oz,GMO-Free,Excellent,ADST 2345,25,49,16.26,50,0,30,Dec 10 2021,5/1/2018
48,7,Oatmeal Raisin Walnut Cookies,Plastic Container,2 lb,Organic,Excellent,KDRT-2345,30,43,14.27,19,20,30,Jan 14 2021,6/13/2015
49,7,Chunky Chocolate Cookies,Flexible Pouch,8 oz,All-Natural,Very Good,KDRT-2345,30,15,4.98,33,20,40,Jan 18 2021,5/1/2014
50,7,Fudge Nut Brownie Cookies,Flexible Pouch,8 oz,All-Natural,Acceptable,KDRT-2345,25,44,14.6,37,0,25,Mar 20 2021,8/24/2010
51,7,Coconut Chocolate Chip Cookies,Paper Bag,7 oz,GMO-Free,Acceptable,KTRT-4589,35,25,8.3,28,0,25,Mar 20 2021,10/19/2018
52,7,Vanilla Sugar Cookies,Plastic Bag,11 oz,GMO-Free,Very Good,KTRT-4589,30,22,7.3,35,0,40,Feb 25 2021,4/5/2014
53,7,Apple Cinnamon Raisin Cookies,Flexible Pouch,5 oz,All-Natural,Top-Rated,KTRT-4589,30,27,8.96,15,20,30,Apr 10 2021,11/13/2017
54,8,Chocolate Chip Brownie,Paper Bag,2 lb,GMO-Free,Very Good,KTRT-4589,35,30,9.96,47,0,25,Apr 15 2021,4/5/2013
55,8,Caramel Brownie,Plastic Bag,7 oz,GMO-Free,Very Good,KTRT-4589,26,16,5.31,41,0,35,Apr 17 2021,11/3/2015
56,8,Fruit Dip,Flexible Pouch,6 oz,Organic,Acceptable,KTRT-4589,30,49,16.26,25,15,40,Apr 18 2021,4/27/2014
57,8,Raspberry brownie bar,Paper Box,11 oz,All-Natural,Acceptable,KTRT-4589,25,22,7.3,23,10,25,May 19 2021,12/28/2018
58,8,Chili Salsa,Paper Box,5 oz,Organic,Top-Rated,KTRT-4589,32,45,14.94,33,0,35,May 20 2021,2/25/2010
59,8,Buttermilk Muffins,Flexible Pouch,14 oz,GMO-Free,Excellent,KTRT-4589,34,46,15.27,31,0,35,Jun 15 2021,11/26/2013
60,8,Fresh Blueberries,Plastic Bag,9 oz,GMO-Free,Excellent,KTRT-4589,24,29,9.62,26,0,25,Jun 20 2021,2/28/2015
61,9,Dried Light Red Tart Cherries,Paper Bag,14 oz,Organic,Top-Rated,EPDA-2345,26,43,14.27,18,15,30,Nov 13 2021,5/21/2010
62,9,Dried  Tart Cherries,Paper Box,7 oz,GMO-Free,Need to Improve,EPDA-2345,20,16,5.31,30,5,30,Dec 10 2021,7/26/2012
63,9,Dried Cranberries,Plastic Container,11 oz,All-Natural,Excellent,EPDA-2345,30,16,5.31,45,0,25,Jan 14 2021,8/31/2018
64,9,Chocolate Covered Cherries,Paper Box,7 oz,GMO-Free,Need to Improve,EPDA-2345,20,23,7.63,37,0,20,Jan 18 2021,1/30/2016
65,9,Dried Blackberry,Flexible Pouch,8 oz,All-Natural,Very Good,EPDA-2345,35,26,8.63,32,5,35,Mar 20 2021,1/6/2018
66,9,All-Purpose Marinade,Plastic Container,8 oz,Organic,Excellent,EPDA-2345,24,29,9.62,27,15,40,Mar 20 2021,5/25/2018
67,10,Light Marinade,Flexible Pouch,6 oz,All-Natural,Very Good,EPDA-2345,30,39,12.94,26,15,35,Feb 25 2021,10/4/2014
68,10,Mushroom Rolls,Paper Box,11 oz,All-Natural,Need to Improve,EPDA-2345,25,48,15.93,35,10,40,Apr 10 2021,6/21/2012
69,10,Green Sauce,Paper Bag,8 oz,Organic,Very Good,EPDA-2345,31,35,11.62,49,0,25,Apr 15 2021,10/14/2010
70,10,Fried Jalapenos,Plastic Bag,7 oz,GMO-Free,Very Good,EPDA-2345,30,15,4.98,32,0,25,Apr 17 2021,6/24/2015
